style_id,upc_num,gender,collection,size,description,wholesale_price,retail_price,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty
ES4690,796483471542,Ladies,Carlie Mini,28,FOSSIL / LADIES / CARLIE MINI 28MM,79.5,159,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless Steel,Stainless Steel,Fold-Over,Black,Quartz,30m - 100ft - 3atm,10000.0
ES4691,796483471979,Ladies,Carlie Mini,28,FOSSIL / LADIES / CARLIE MINI 28MM,69.5,139,Black,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Buckle,Black,Quartz,30m - 100ft - 3atm,10000.0
ES4699,796483469723,Ladies,Carlie Mini,28,FOSSIL / LADIES / CARLIE MINI 28MM,50.0,100,White,Japan - JP,2 - Year International Limited Warranty,Nude,Leather,Stainless Steel,Buckle,White,Quartz,30m - 100ft - 3atm,10000.0
ES4700,796483469730,Ladies,Carlie Mini,28,FOSSIL / LADIES / CARLIE MINI 28MM,50.0,100,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless Steel,Buckle,Black,Quartz,30m - 100ft - 3atm,10000.0
ES4701,796483469747,Ladies,Carlie Mini,28,FOSSIL / LADIES / CARLIE MINI 28MM,50.0,100,Blue,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Blue,Quartz,30m - 100ft - 3atm,10000.0
ES4703,796483471696,Ladies,Kalya,36,FOSSIL / LADIES / KALYA 36MM,59.5,119,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,Silver,Quartz,30m - 100ft - 3atm,10000.0
ES4704,796483471689,Ladies,Kalya,36,FOSSIL / LADIES / KALYA 36MM,69.5,139,Brown,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Brown,Quartz,30m - 100ft - 3atm,10000.0
ES4705,796483469174,Ladies,Lyric,32,FOSSIL / LADIES / LYRIC 32MM,59.5,119,Gold,Japan - JP,2 - Year International Limited Warranty,Green,Leather,Stainless Steel,Buckle,Gold,Quartz,50m - 160ft - 5atm,10000.0
ES4707,796483469181,Ladies,Lyric,32,FOSSIL / LADIES / LYRIC 32MM,59.5,119,Silver,Japan - JP,2 - Year International Limited Warranty,Nude,Leather,Stainless Steel,Buckle,Silver,Quartz,50m - 160ft - 5atm,10000.0
ES4708,796483469204,Ladies,Lyric,32,FOSSIL / LADIES / LYRIC 32MM,59.5,119,Silver,Japan - JP,2 - Year International Limited Warranty,Blue,Leather,Stainless Steel,Buckle,Silver,Quartz,50m - 160ft - 5atm,10000.0
ES4710,796483469976,Ladies,Lyric,32,FOSSIL / LADIES / LYRIC 32MM,64.5,129,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless Steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0
ES4711,796483469211,Ladies,Lyric,32,FOSSIL / LADIES / LYRIC 32MM,74.5,149,Rose Gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Rose Gold,Quartz,50m - 160ft - 5atm,10000.0
ES4712,796483469228,Ladies,Lyric,32,FOSSIL / LADIES / LYRIC 32MM,64.5,129,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,Silver,Quartz,50m - 160ft - 5atm,10000.0
ES4713,796483469235,Ladies,Lyric,32,FOSSIL / LADIES / LYRIC 32MM,74.5,149,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless Steel,Stainless Steel,Fold-Over,Black,Quartz,50m - 160ft - 5atm,10000.0
ES4718,796483469259,Ladies,Lyric,28,FOSSIL / LADIES / LYRIC 28MM,59.5,119,Silver,Japan - JP,2 - Year International Limited Warranty,Nude,Leather,Stainless Steel,Buckle,Silver,Quartz,30m - 100ft - 3atm,10000.0
ES4719,796483471627,Ladies,Lyric,28,FOSSIL / LADIES / LYRIC 28MM,64.5,129,Black,Japan - JP,2 - Year International Limited Warranty,Multi,Leather,Stainless Steel,Buckle,Black,Quartz,30m - 100ft - 3atm,10000.0
ES4720,796483469266,Ladies,Lyric,28,FOSSIL / LADIES / LYRIC 28MM,74.5,149,Rose Gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Rose Gold,Quartz,30m - 100ft - 3atm,10000.0
ES4721,796483469273,Ladies,Lyric,28,FOSSIL / LADIES / LYRIC 28MM,64.5,129,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,Silver,Quartz,30m - 100ft - 3atm,10000.0
ES4722,796483469280,Ladies,Lyric,28,FOSSIL / LADIES / LYRIC 28MM,74.5,149,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless Steel,Stainless Steel,Fold-Over,Black,Quartz,30m - 100ft - 3atm,10000.0
ES4723,796483471634,Ladies,Jacqueline,36,FOSSIL / LADIES / JACQUELINE 36MM,69.5,139,Brown,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Brown,Quartz,30m - 100ft - 3atm,10000.0
ES4725,796483471665,Ladies,Jacqueline,36,FOSSIL / LADIES / JACQUELINE 36MM,64.5,129,Black,Japan - JP,2 - Year International Limited Warranty,Multi,Leather,Stainless Steel,Buckle,Black,Quartz,30m - 100ft - 3atm,10000.0
ES4726,796483471610,Ladies,Kinsey,28,FOSSIL / LADIES / KINSEY 28MM,59.5,119,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0
ES4727,796483470453,Ladies,Prismatic Galaxy,33,FOSSIL / LADIES / PRISMATIC 33MM,49.5,99,Purple,Japan - JP,2 - Year International Limited Warranty,Purple,Leather,Stainless Steel,Buckle,Purple,Quartz,50m - 160ft - 5atm,10000.0
ES4728,796483470477,Ladies,Prismatic Galaxy,33,FOSSIL / LADIES / PRISMATIC 33MM,49.5,99,Yellow,Japan - JP,2 - Year International Limited Warranty,Yellow,Leather,Stainless Steel,Buckle,Yellow,Quartz,50m - 160ft - 5atm,10000.0
