style_id,retail_price,upc_num,description,collection,case,gender,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,qt_sales_order,total_sales_2022,qt_on_hand,monthly_avg_2022
ES5073,109.0,796483530294,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,49.0,0.25
ES5074,129.0,796483534292,FOSSIL / LADIES / SCARLETTE MICRO 28MM,SCARLETTE,28MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,38.0,10.0,6.0,3.0,3.0,0.0,22.0,0.0,5.5
ES5075,139.0,796483534308,FOSSIL / LADIES / KALYA 36MM,KALYA,36MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,8.0,0.0,0.0,0.0,20.0,0.0,5.0
ES5076,119.0,796483534742,FOSSIL / LADIES / KALYA 36MM,KALYA,36MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0,0.0,0.0,12.0,9.0,3.0
ES5077,129.0,796483534735,FOSSIL / LADIES / SCARLETTE MINI 32MM,SCARLETTE,32MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,4.0,0.0,0.0,20.0,0.0,5.0
ES5078,149.0,796483534759,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5079,129.0,796483534766,FOSSIL / LADIES / RAQUEL 27MM,RAQUEL,27MM,LADIES,2021H2,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,1.5
ES5080,129.0,796483534773,FOSSIL / LADIES / RAQUEL 27MM,RAQUEL,27MM,LADIES,2021H2,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25
ES5081,129.0,796483534780,FOSSIL / LADIES / RAQUEL 27MM,RAQUEL,27MM,LADIES,2021H2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5083,109.0,796483534803,FOSSIL / LADIES / CARLIE MINI 28MM,CARLIE,28MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10.0,0.0,5.0,0.0,2.0,15.0,46.0,3.75
ES5084,109.0,796483534810,FOSSIL / LADIES / RAQUEL 27MM,RAQUEL,27MM,LADIES,2021H2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25
ES5085,109.0,796483534834,FOSSIL / LADIES / RAQUEL 27MM,RAQUEL,27MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,9.0,0.75
ES5086,109.0,796483534827,FOSSIL / LADIES / RAQUEL 27MM,RAQUEL,27MM,LADIES,2021H2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5087,129.0,796483534964,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,7.0,2.0,2.0,15.0,28.0,3.75
ES5088,129.0,796483534872,FOSSIL / LADIES / CARLIE MINI 28MM,CARLIE,28MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,3.0,0.0,4.0,5.0,28.0,1.25
ES5089,119.0,796483534889,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,3.0,2.0,3.0,0.0,14.0,24.0,3.5
ES5090,139.0,796483534896,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
ES5091,139.0,796483534902,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,1.0,0.0,0.0,3.0,17.0,0.75
ES5092,139.0,796483534926,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
ES5093,139.0,796483534919,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,2.0,43.0,0.5
ES5094,109.0,796483534933,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,29.0,0.25
ES5095,139.0,796483534841,FOSSIL / LADIES / JACQUELINE MULTIFUNCTION 38MM,JACQUELINE,38MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,11.0,0.5
ES5096,139.0,796483534858,FOSSIL / LADIES / JACQUELINE MULTIFUNCTION 38MM,JACQUELINE,38MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,7.0,10.0,1.75
ES5097,139.0,796483534865,FOSSIL / LADIES / JACQUELINE MULTIFUNCTION 38MM,JACQUELINE,38MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,3.0,7.0,0.75
ES5098,159.0,796483534957,FOSSIL / LADIES / JACQUELINE MULTIFUNCTION 38MM,JACQUELINE,38MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,34.0,8.0,8.0,3.0,4.0,1.0,23.0,32.0,5.75
ES5099,159.0,796483534940,FOSSIL / LADIES / JACQUELINE MULTIFUNCTION 38MM,JACQUELINE,38MM,LADIES,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,39.0,13.0,8.0,9.0,4.0,1.0,34.0,36.0,8.5
ES5100,109.0,796483538542,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,16.0,0.5
ES5102,89.0,796483547261,FOSSIL / LADIES / CARLIE MINI 28MM,CARLIE MINI,28MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,7.0,0.0,0.0,0.0,11.0,0.0,2.75
ES5103,129.0,796483548275,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,3.0,0.0,0.0,0.0,17.0,0.0,4.25
ES5105,129.0,796483548282,FOSSIL / LADIES / SCARLETTE MICRO 28MM,SCARLETTE MICRO,28MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25
ES5106,159.0,796483548237,FOSSIL / LADIES / STELLA SPORT 37MM,STELLA SPORT,37MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,10.0,8.0,18.0,3.0,53.0,24.0,13.25
ES5107,159.0,796483547308,FOSSIL / LADIES / STELLA SPORT 37MM,STELLA SPORT,37MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,31.0,11.0,4.0,16.0,21.0,0.0,52.0,24.0,13.0
ES5108,159.0,796483548213,FOSSIL / LADIES / STELLA SPORT 37MM,STELLA SPORT,37MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,39.0,11.0,12.0,10.0,17.0,0.0,50.0,29.0,12.5
ES5109,159.0,796483548220,FOSSIL / LADIES / STELLA SPORT 37MM,STELLA SPORT,37MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,34.0,9.0,8.0,9.0,14.0,0.0,40.0,24.0,10.0
ES5111,129.0,796483551497,FOSSIL / LADIES / VIRGINIA 30MM,VIRGINIA,30MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,29.0,17.0,4.0,7.0,8.0,1.0,36.0,24.0,9.0
ES5112,109.0,796483551473,FOSSIL / LADIES / CARLIE MINI 28MM,CARLIE MINI,28MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES5113,109.0,796483551466,FOSSIL / LADIES / CARLIE MINI 28MM,CARLIE MINI,28MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,0.0,12.0,4.0,3.0
ES5114,129.0,796483551367,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,6.0,4.0,1.0,1.0,20.0,6.0,5.0
ES5115,109.0,796483551336,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,34.0,0.25
ES5116,109.0,796483551343,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
ES5118,139.0,796483551428,FOSSIL / LADIES / JACQUELINE MULTIFUNCTION 38MM,JACQUELINE MULTIFUNCTION,38MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,0.0,0.0,0.0,14.0,0.0,3.5
ES5120,149.0,796483551435,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,15.0,0.0,0.0,0.0,22.0,0.0,5.5
ES5121,139.0,796483551442,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
ES5122,139.0,796483551459,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
ES5123,129.0,796483551480,FOSSIL / LADIES / SCARLETTE MINI 32MM,SCARLETTE MINI,32MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,1.0,0.0,20.0,0.0,5.0
ES5124,139.0,796483550506,FOSSIL / LADIES / STELLA SPORT 37MM,STELLA SPORT,37MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,10.0,0.0,0.0,20.0,0.0,5.0
ES5125,149.0,796483553835,FOSSIL / LADIES / JACQUELINE 36MM,JACQUELINE,36MM,LADIES,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,11.0,1.0,2.0,1.0,25.0,0.0,6.25
ES5126,129.0,796483554696,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,6.0,4.0,0.0,1.0,25.0,3.0,6.25
ES5127,109.0,796483554689,FOSSIL / LADIES / CARLIE 28MM,CARLIE,28MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,0.0,0.0,12.0,15.0,3.0
ES5128,139.0,796483555532,FOSSIL / LADIES / RAQUEL 26MM,RAQUEL,26MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,11.0,2.0,0.0,0.0,26.0,0.0,6.5
