style_id,monthly_forecast_Q3
FS5906,2.0
ME3154,5.277777777777778
ES4627,7.148148148148148
FS5503,2.4814814814814814
ME3170,3.7407407407407405
FS4682IE,7.407407407407407
FS4735,2.0
FS5308,8.166666666666666
FS5861,4.0
ES3716,6.944444444444444
ES5096,1.2777777777777777
ES5153,2.0
ES4647,4.851851851851852
ES4671,3.9629629629629632
FS5835,3.7037037037037037
ES4735,6.9444444444444455
FS5883,4.777777777777778
ME3195,2.6296296296296298
ME3188,1.2962962962962963
FS5151,11.222222222222223
ME3172,1.7037037037037035
ES5165,0.0
ES3466,6.722222222222221
ES5173,2.0
FS5551,3.1666666666666665
FS5714,6.833333333333333
FS5903,0.0
FS5838,2.0925925925925926
FS5304,3.314814814814815
FS5305,2.981481481481481
FS5851,2.5185185185185186
FS5384,4.0
FS5875,3.685185185185185
FS5824,2.4814814814814814
FS5447,1.5740740740740737
FS5756,2.0555555555555554
FS5874,4.685185185185185
FS5876,4.518518518518518
FS5763,2.6296296296296298
FS5852,2.6666666666666665
FS5855,1.537037037037037
JR1401,6.62962962962963
ME3183,0.6666666666666666
ME3171,2.4814814814814814
ME3185,0.888888888888889
ME3155,3.3333333333333335
ME3110,3.9629629629629632
ES5093,0.8148148148148149
ME3196,1.9074074074074072
ME3099,7.685185185185186
ME3098,1.722222222222222
ME3197,4.0
ME3201,1.9444444444444444
ES4700,1.611111111111111
ES4519,5.944444444444444
ME3175,1.2592592592592593
ES3988,2.5185185185185186
ES5204,1.0
CE1112,3.6666666666666665
FS4775IE,2.925925925925926
FS4774IE,4.037037037037037
FS4736,5.685185185185186
ME3210,2.3333333333333335
ME3214,0.0
ME3184,2.0925925925925926
ME3189,1.3518518518518519
ME3211,0.0
FS5899,0.0
FS5898,0.0
ME3207,3.3333333333333335
ME3205,0.0
ME3200,1.7962962962962965
FS5900,0.0
ME3204,0.0
ME3202,0.0
FS5893,0.0
ME3181,1.1481481481481481
ME3203,0.0
FS5927,0.0
FS5901,0.0
FS5902,0.0
FS5928,0.0
FS5929,0.0
FS5925,0.0
FS5924,0.0
FS5930,0.0
FS5931,0.0
FS5923,0.0
FS5922,0.0
FS5921,0.0
FS5920,0.0
FS5916,0.0
JR1437,5.592592592592593
FS5915,0.0
JR1487,4.314814814814815
FS5914,0.0
FS5911,0.0
LE1143SET,0.0
ME1175,0.0
FS5907,0.0
FS5905,0.0
FS5904,0.0
FS5926,0.0
ME3161,0.3703703703703704
ME3160,1.3518518518518519
FS5439,1.6851851851851851
FS5853,2.6296296296296298
ES5189,0.0
ES5137,4.037037037037037
ES5150,2.5925925925925926
ES5168,0.0
ES5176SET,0.0
ES5184,0.0
ES5187,0.0
ES5188,0.0
ES5190,0.0
FS5850,1.0
ES5191,0.0
ES5192,0.0
ES5193,0.0
ES5197,0.0
ES5198,0.0
ES5199,0.0
ES5200,0.0
ES5136,8.333333333333334
ES5097,0.8703703703703703
ES5095,0.40740740740740744
ES5092,0.6666666666666666
CE1111,0.0
ES2830,2.7407407407407405
ES3708,3.1481481481481484
ES3843,4.055555555555555
ES4274,5.0
ES4341,3.4814814814814814
ES4484,0.6666666666666666
ES4502,1.9074074074074074
ES4699,3.8148148148148144
ES4701,4.314814814814815
ES4823,0.5185185185185185
ES4825,0.5370370370370371
ES5068,0.9444444444444443
ES5090,0.3333333333333333
ES5091,1.537037037037037
ES5201,0.0
ES5202,0.0
ES5203,0.0
FS5707,4.351851851851852
FS5712,7.7592592592592595
FS5713,5.981481481481481
FS5735,2.888888888888889
FS5791,4.518518518518518
FS5792,2.611111111111111
FS5832,2.814814814814815
FS5839,2.5925925925925926
FS5840,2.314814814814815
FS5841,0.9814814814814815
FS5843,0.0
FS5844,0.0
FS5846,0.0
FS5847,2.9444444444444446
FS5848,0.0
FS5849,1.0
FS5711,6.7592592592592595
FS5666,1.3518518518518519
ES5205,0.0
FS5663,1.037037037037037
FS4552,0.0
FS4656,12.407407407407407
FS4812,3.0370370370370368
FS4813,0.0
FS5210,3.574074074074074
FS5279,4.277777777777778
FS5380,3.685185185185185
FS5437,3.4629629629629632
FS5452,3.8518518518518516
FS5453,5.203703703703703
FS5459,9.574074074074074
FS5512,2.3703703703703707
FS5522,2.2962962962962963
FS5562SET,3.2777777777777772
FS5661,0.0
ME3220,0.0
