style_id,upc_num,priority,case,availability,qty_on_hand,qty_on_order,qty_total,qty_sales_order,qty_sold_last_6m,qty_avg/mo,months_of_supply,cte_cost,qty_cte_cost,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,total_sales_2022,monthly_avg_2022,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty,case_size,gender,retail_price,collection,wholesale_price
FS5459,796483392786,B,44MM,Available,25.0,0,25.0,0.0,46,7.666666666666667,3.260869565217391,52.5,0.0,No status reported,0.0,0.0,0.0,72.0,66.0,33.0,146.0,10.0,4.0,11.0,0.0,25.0,6.25,Grey,Japan - JP,2 - Year International Limited Warranty,Grey,Stainless steel,Stainless steel,No clasp type reported,Grey,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,150.0,Color undertones,75.0
FS5503,796483430259,B,44MM,Available,14.0,0,14.0,0.0,19,3.1666666666666665,4.421052631578948,56.0,0.0,2019h1,0.0,0.0,0.0,0.0,9.0,27.0,22.0,3.0,4.0,1.0,2.0,10.0,2.5,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra,80.0
FS5512,796483424562,B,44MM,Available,24.0,0,24.0,0.0,31,5.166666666666667,4.64516129032258,56.0,0.0,2019h1,0.0,0.0,0.0,0.0,30.0,71.0,37.0,0.0,5.0,1.0,0.0,6.0,1.5,Grey,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Grey,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra chrono,80.0
FS5522,796483430396,B,44MM,Available,24.0,0,24.0,0.0,30,5.0,4.8,56.0,0.0,2019h1,0.0,0.0,0.0,0.0,28.0,32.0,35.0,0.0,5.0,1.0,0.0,6.0,1.5,Grey,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Grey,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Townsman,80.0
FS5525,796483430402,B,44MM,Available,18.0,0,18.0,5.0,31,5.166666666666667,4.451612903225806,62.99999999999999,314.99999999999994,2019h1,0.0,0.0,0.0,0.0,45.0,22.0,31.0,0.0,10.0,1.0,4.0,15.0,3.75,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless steel,Stainless steel,Fold-over,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,180.0,Neutra chrono,90.0
FS5551,796483441477,B,44MM,Available,17.0,0,17.0,0.0,24,4.0,4.25,45.5,0.0,2019h2,0.0,0.0,0.0,0.0,24.0,13.0,27.0,7.0,2.0,3.0,1.0,13.0,3.25,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,130.0,The minimalist,65.0
FS5562SET,796483464155,C,42MM,Delivery within 6 weeks,0.0,50,50.0,0.0,33,5.5,9.090909090909092,84.0,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,3.0,2.0,0.0,11.0,2.75,White,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Fold-over,White,Quartz,30m - 100ft - 3atm,100.0,42.0,Mens,240.0,The andy and addison set,120.0
FS5623,796483468948,C,44MM,Available,59.0,40,99.0,0.0,61,10.166666666666666,9.737704918032787,49.0,0.0,2019h4,0.0,0.0,0.0,0.0,57.0,105.0,81.0,0.0,6.0,8.0,5.0,19.0,4.75,Blue,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Fold-over,Blue,Quartz,100m - 330ft - 10atm,10000.0,44.0,Mens,140.0,Garrett,70.0
FS5661,796483473065,B,42MM,Available,19.0,0,19.0,0.0,1,0.16666666666666666,114.0,42.0,0.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Blue,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,120.0,Copeland,60.0
FS5663,796483473058,B,42MM,Available,14.0,0,14.0,0.0,11,1.8333333333333333,7.636363636363637,42.0,0.0,2019h4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,4.0,1.0,Cream,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Cream,Quartz,50m - 160ft - 5atm,10000.0,42.0,Mens,120.0,Copeland,60.0
